Sno.,App.No.,Geographical Indications,Status,Goods,State
0147,0239,Warli Painting,Registered,Handicraft,"India (Maharashtra, Gujarat, Dadara & Nagar Haveli,
Daman Diu"
0148,0027,Phulkari,Registered,Handicraft,"India (Punjab, Haryana &
Rajasthan)"
0149,0085,Mansooned Malabar Arabica Coffee,Registered,Agricultural,India (Karnataka & Kerala)
0150,0114,Mansooned Malabar Robusta Coffee,Registered,Agricultural,India (Karnataka & Kerala)
0151,0145,Basmati,Registered,Agricultural,"India
(Punjab / Haryana / Himachal Pradesh / Delhi / Uttarkhand / Uttar Pradesh / Jammu & Kashmir)"
0152,0241,Banaganapalle Mangoes,Registered,Agricultural,"India (Telangana & Andhra
Pradesh"
0153,0607,Araku Valley Arabica Coffee,Registered,Agricultural,"India
(Andhra Pradesh & Odisha)"
0154,0636,Dalle Khursani,Registered,Agricultural,"India
(Sikkim and West Bengal)"
0155,0935,Arunachal Pradesh Singpho Phalap (Singpho Tea),Registered,Agricultural,"India (Arunachal Pradesh and
Assam)"
0156,1001,Assam Mishing Handloom Product,Registered,Handicraft,"India
(Assam and Arunachal Pradesh)"
0157,0635,Kashmir Saffron,Registered,Agricultural,Jammu & Kashmir
0158,0758,Mushqbudji Rice,Registered,Agricultural,Jammu & Kashmir
0159,0768,Bhaderwah Rajmash,Registered,Agricultural,Jammu & Kashmir
0160,0774,Ramban Anardana,Registered,Agricultural,Jammu & Kashmir
0161,0046,Kashmir Pashmina,Registered,Handicraft,Jammu & Kashmir
0162,0048,Kashmir Sozani Craft,Registered,Handicraft,Jammu & Kashmir
0163,0051,Kani Shawl,Registered,Handicraft,Jammu & Kashmir
0164,0181,Kashmir Paper Machie,Registered,Handicraft,Jammu & Kashmir
0165,0182,Kashmir Walnut Wood Carving,Registered,Handicraft,Jammu & Kashmir
0166,0204,Khatamband,Registered,Handicraft,Jammu & Kashmir
0167,0527,Kashmiri Hand Knotted Carpet,Registered,Handicraft,Jammu & Kashmir
0168,0755,Basohli Painting,Registered,Handicraft,Jammu & Kashmir
0169,0765,Rajouri Chikri Wood Craft,Registered,Handicraft,Jammu & Kashmir
0170,0775,Basohli Pashmina Woolen Product,Registered,Handicraft,Jammu & Kashmir
0171,0772,Ramban Sulai Honey,Registered,Food Stuff,Jammu & Kashmir
0172,0807,Udhampur Kaladi,Registered,Food Stuff,Jammu & Kashmir
0173,0658,Sohrai – Khovar Painting,Registered,Handicraft,Jharkhand
0174,0033,Coorg Orange,Registered,Agricultural,Karnataka
0175,0034,Mysore Betel Leaf,Registered,Agricultural,Karnataka
0176,0035,Nanjanagud Banana,Registered,Agricultural,Karnataka
0177,0069,Mysore Malligae,Registered,Agricultural,Karnataka
0178,0070,Udupi Malligae,Registered,Agricultural,Karnataka
0179,0071,Hadagali Malligae,Registered,Agricultural,Karnataka
0180,0078,Coorg Green Cardamom,Registered,Agricultural,Karnataka
0181,0129,Byadagi Chilli,Registered,Agricultural,Karnataka
0182,0131,Devanahalli Pomello,Registered,Agricultural,Karnataka
0183,0132,Appemidi Mango,Registered,Agricultural,Karnataka
0184,0133,Kamalapur Red Banana,Registered,Agricultural,Karnataka
0185,0199,Udupi Mattu Gulla Brinjal,Registered,Agricultural,Karnataka
0186,0211,Bangalore Blue Grapes,Registered,Agricultural,Karnataka
0187,0212,Bangalore Rose Onion,Registered,Agricultural,Karnataka
0188,0464,Sirsi Supari,Registered,Agricultural,Karnataka
0189,0593,Gulbarga Tur Dal,Registered,Agricultural,Karnataka
0190,0604,Coorg Arabica Coffee,Registered,Agricultural,Karnataka
0191,0606,Chikmagalur Arabica Coffee,Registered,Agricultural,Karnataka
0192,0608,Bababudangiris Arabica Coffee,Registered,Agricultural,Karnataka
0193,0745,Indi Limbe,Registered,Agricultural,Karnataka
0194,0843,Kari Ishad Mango,Registered,Agricultural,Karnataka
0195,0080,Dharwad Pedha,Registered,Food Stuff,Karnataka
0196,0011,Mysore Silk,Registered,Handicraft,Karnataka
0197,0020,Bidriware,Registered,Handicraft,Karnataka
0198,0023,Channapatna Toys And Dolls,Registered,Handicraft,Karnataka
0199,0024,Mysore Rosewood Inlay,Registered,Handicraft,Karnataka
0200,0031,Kasuti Embroidery,Registered,Handicraft,Karnataka
0201,0032,Mysore Traditional Paintings,Registered,Handicraft,Karnataka
0202,0060,Ganjifa Cards of Mysore,Registered,Handicraft,Karnataka
0203,0061,Navalgund Durries,Registered,Handicraft,Karnataka
0204,0062,Karnataka Bronzeware,Registered,Handicraft,Karnataka
0205,0076,Ilkal Sarees,Registered,Handicraft,Karnataka
0206,0077,Molakalmuru Sarees,Registered,Handicraft,Karnataka
0207,0134,Sandur Lambani Embroidery,Registered,Handicraft,Karnataka
0208,0210,Guledgudd Khana,Registered,Handicraft,Karnataka
0209,0213,Kinhal Toys,Registered,Handicraft,Karnataka
0210,0224,Udupi Sarees,Registered,Handicraft,Karnataka
0211,0510,Karnataka Bronzeware (Logo),Registered,Handicraft,Karnataka
0212,0511,Ganjifa cards of Mysore (Logo),Registered,Handicraft,Karnataka
0213,0512,Navalgund Durries (Logo),Registered,Handicraft,Karnataka
0214,0532,Mysore Silk (Logo),Registered,Handicraft,Karnataka
0215,13 & 18,Mysore Agarbathi,Registered,Manufactured,Karnataka
0216,0029,Mysore Sandalwood Oil,Registered,Manufactured,Karnataka
0217,0030,Mysore Sandal Soap,Registered,Manufactured,Karnataka
0218,0017,Navara Rice,Registered,Agricultural,Kerala
0219,0036,Palakkadan Matta Rice,Registered,Agricultural,Kerala
0220,0081,Pokkali Rice,Registered,Agricultural,Kerala
0221,130 & 141,Vazhakulam Pineapple,Registered,Agricultural,Kerala
0222,0163,Central Travancore Jaggery,Registered,Food Stuff,Kerala
0223,0186,Wayanad Jeerakasala Rice,Registered,Agricultural,Kerala
0224,0187,Wayanad Gandhakasala Rice,Registered,Agricultural,Kerala
0225,0242,Kaipad Rice,Registered,Agricultural,Kerala
0226,0479,Chengalikodan Nendran Banana,Registered,Agricultural,Kerala
0227,0543,Nilambur Teak,Registered,Agricultural,Kerala
0228,0605,Wayanaad Robusta Coffee,Registered,Agricultural,Kerala
0229,0613,Marayoor Jaggery (Marayoor Sharkara),Registered,Food Stuff,Kerala
0230,0641,Tirur Betel Leaf (Tirur Vettila),Registered,Agricultural,Kerala
0231,0686,Attappady Aattukombu Avara,Registered,Agricultural,Kerala
0232,0687,Attappady Thuvara,Registered,Agricultural,Kerala
0233,0736,Onattukara Ellu,Registered,Agricultural,Kerala
0234,0749,Kanthalloor Vattavada Veluthulli,Registered,Agricultural,Kerala
0235,0752,Kodungallur Pottuvellari,Registered,Agricultural,Kerala
0236,0003,Aranmula Kannadi (Aranmula Metal Mirror),Registered,Handicraft,Kerala
0237,0006,Payyannur Pavithra Ring,Registered,Handicraft,Kerala
0238,0054,Alleppey Coir,Registered,Handicraft,Kerala
0239,0057,Brass Broidered Coconut Shell Crafts of Kerala,Registered,Handicraft,Kerala
0240,0058,Screw Pine Craft of Kerala,Registered,Handicraft,Kerala
0241,0059,Maddalam of Palakkad,Registered,Handicraft,Kerala
0242,0144,Cannanore Home Furnishings,Registered,Handicraft,Kerala
0243,0152,Balaramapuram Sarees And Fine Cotton Fabrics,Registered,Handicraft,Kerala
0244,0170,Kasaragod Sarees,Registered,Handicraft,Kerala
0245,0179,Kuthampully Sarees,Registered,Handicraft,Kerala
0246,0225,Chendamangalam Dhoties & Set Mundu,Registered,Handicraft,Kerala
0247,0402,Kuthampully Dhoties & Set Mundu,Registered,Handicraft,Kerala
0248,0516,Maddalam of Palakkad (Logo),Registered,Handicraft,Kerala
0249,0517,Brass Broidered Coconut Shell Crafts of Kerala (Logo),Registered,Handicraft,Kerala
0250,0518,Screw Pine Craft of Kerala (Logo),Registered,Handicraft,Kerala
0251,0660,Kuttiattoor Mango (Kuttiattoor Manga),Registered,Agricultural,Kerala
0252,0662,Edayur Chilli,Registered,Agricultural,Kerala
0253,0727,Ladakh Seabuckthorn,Registered,Agricultural,Ladakh (UT)
0254,0729,Ladakh Raktsey Karpo Apricot,Registered,Agricultural,Ladakh (UT)
0255,0726,Pashmina Wool of Ladakh,Registered,Handicraft,Ladakh (UT)
0256,0771,Ladakh Shingskos (Wood Carving),Registered,Handicraft,Ladakh (UT)
0257,0434,Ratlami Sev,Registered,Food Stuff,Madhya Pradesh
0258,0681,Morena Gajak,Registered,Food Stuff,Madhya Pradesh
0259,0663,Balaghat Chinnor,Registered,Agricultural,Madhya Pradesh
0260,0699,Sharbati Gehu,Registered,Agricultural,Madhya Pradesh
0261,0707,Rewa Sunderja Mango,Registered,Agricultural,Madhya Pradesh
0262,0813,Ratlam Riyawan Lahsun (Garlic),Registered,Agricultural,Madhya Pradesh
0263,0007,Chanderi Sarees,Registered,Handicraft,Madhya Pradesh
0264,0097,Leather Toys of Indore,Registered,Handicraft,Madhya Pradesh
0265,0098,Bagh Prints of Madhya Pradesh,Registered,Handicraft,Madhya Pradesh
0266,0102,Bell Metal Ware of Datia and Tikamgarh,Registered,Handicraft,Madhya Pradesh
0267,0197,Maheshwar Sarees & Fabrics,Registered,Handicraft,Madhya Pradesh
0268,0388,Bell Metal Ware of Datia And Tikamgarh (Logo),Registered,Handicraft,Madhya Pradesh
0269,0399,Leather Toys of Indore (LOGO),Registered,Handicraft,Madhya Pradesh
0270,0505,Bagh Prints of Madhya Pradesh (Logo),Registered,Handicraft,Madhya Pradesh
0271,0701,Gond Painting of Madhya Pradesh,Registered,Handicraft,Madhya Pradesh
0272,0697,Wrought Iron Crafts of Dindori,Registered,Handicraft,Madhya Pradesh
0273,0700,Ujjain Batik Print,Registered,Handicraft,Madhya Pradesh
0274,0708,Gwalior Handmade Carpet,Registered,Handicraft,Madhya Pradesh
0275,0709,Waraseoni Handloom Saree & Fab,Registered,Handicraft,Madhya Pradesh
0276,0710,Jabalpur Stone Craft,Registered,Handicraft,Madhya Pradesh
0277,0378,Jhabua Kadaknath Black Chicken Meat,Registered,Food Stuff,Madhya Pradesh
0278,"139, 379 & 497",Alphonso,Registered,Agricultural,Maharashtra
0279,0154,Mahabaleshwar Strawberry,Registered,Agricultural,Maharashtra
0280,0165,Nashik Grapes,Registered,Agricultural,Maharashtra
0281,0240,Kolhapur Jaggery,Registered,Food Stuff,Maharashtra
0282,0470,Ajara Ghansal Rice,Registered,Agricultural,Maharashtra
0283,0471,Waigaon Turmeric,Registered,Agricultural,Maharashtra
0284,0472,Mangalwedha Jowar,Registered,Agricultural,Maharashtra
0285,0473,Bhiwapur Chilli,Registered,Agricultural,Maharashtra
0286,0474,Sindhudurg & Ratnagiri Kokum,Registered,Agricultural,Maharashtra
0287,0476,Waghya Ghevada,Registered,Agricultural,Maharashtra
0288,0477,Navapur Tur Dal,Registered,Agricultural,Maharashtra
0289,0478,Ambemohar Rice,Registered,Agricultural,Maharashtra
0290,0489,Vengurla Cashew,Registered,Agricultural,Maharashtra
0291,0490,Sangli Raisins,Registered,Agricultural,Maharashtra
0292,0491,Lasalgaon Onion,Registered,Agricultural,Maharashtra
0293,0493,Dahanu Gholvad Chikoo,Registered,Agricultural,Maharashtra
0294,0494,Beed Custard Apple,Registered,Agricultural,Maharashtra
0295,0495,Jalna Sweet Orange,Registered,Agricultural,Maharashtra
0296,0496,Sangli Turmeric,Registered,Agricultural,Maharashtra
0297,0498,Jalgaon Banana,Registered,Agricultural,Maharashtra
0298,0499,Marathwada Kesar Mango,Registered,Agricultural,Maharashtra
0299,0500,Purandar Fig,Registered,Agricultural,Maharashtra
0300,0501,Jalgaon Bharit Brinjal,Registered,Agricultural,Maharashtra
0301,0502,Solapur Pomegranate,Registered,Agricultural,Maharashtra
0302,0685,Alibag White Onion,Registered,Agricultural,Maharashtra
0303,0688,Bhandara Chinoor Rice,Registered,Agricultural,Maharashtra
